_c0,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia,alcaldía,latitud,longitud
14833,2023,Enero,2023-01-01,2024-11-11T03:40:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,48,FISICA,DOCTORES,CUAUHTEMOC,19.4239747389001,-99.1529504898993
14836,2023,Enero,2023-01-02,2024-11-11T02:15:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,27,FISICA,SAN SIMÓN TOLNAHUAC,CUAUHTEMOC,19.4570417939392,-99.1415584098812
14837,2023,Enero,2023-01-02,2024-11-11T06:00:00.000Z,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Femenino,27,FISICA,CENTRO,CUAUHTEMOC,19.4303664022837,-99.1323717501595
14838,2023,Enero,2023-01-01,2024-11-11T03:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,30,FISICA,DOCTORES,CUAUHTEMOC,19.4200396117007,-99.1465311096056
14840,2023,Enero,2023-01-02,2024-11-11T08:20:00.000Z,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Masculino,24,FISICA,VISTA ALEGRE,CUAUHTEMOC,19.4102041926634,-99.1338872899429
14842,2023,Enero,2023-01-02,2024-11-11T16:12:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,40,FISICA,CENTRO,CUAUHTEMOC,19.4261270767606,-99.1364121399986
14843,2023,Enero,2023-01-02,2024-11-11T16:12:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,40,FISICA,CENTRO,CUAUHTEMOC,19.4261270767606,-99.1364121399986
14846,2023,Enero,2023-01-01,2024-11-11T06:20:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,37,FISICA,HIPÓDROMO CONDESA,CUAUHTEMOC,19.4113513500216,-99.1769848496882
14847,2023,Enero,2023-01-03,2024-11-11T07:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,51,FISICA,OBRERA,CUAUHTEMOC,19.4109065056856,-99.1361369901422
14848,2023,Enero,2023-01-02,2024-11-11T20:15:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,34,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4097082025682,-99.174766869546
14850,2023,Enero,2023-01-02,2024-11-11T11:30:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,41,FISICA,SANTA MARIA LA RIBERA,CUAUHTEMOC,19.4494868286425,-99.1586560795848
14851,2023,Enero,2023-01-03,2024-11-11T21:58:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,36,FISICA,ATLAMPA,CUAUHTEMOC,19.457854542371,-99.1571026996627
14852,2023,Enero,2023-01-03,2024-11-11T23:25:00.000Z,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Femenino,76,FISICA,ROMA NORTE,CUAUHTEMOC,19.416324428986,-99.1657763304252
14853,2023,Enero,2023-01-03,2024-11-11T05:55:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,36,FISICA,ALGARIN,CUAUHTEMOC,19.4037501272323,-99.1381180303891
14855,2023,Enero,2023-01-04,2024-11-11T02:22:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,11,FISICA,ROMA NORTE,CUAUHTEMOC,19.4258547328365,-99.1537061302931
14856,2023,Enero,2023-01-01,2024-11-11T03:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,44,FISICA,PERALVILLO,CUAUHTEMOC,19.4605506973359,-99.1294064402629
14857,2023,Enero,2023-01-03,2024-11-11T09:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,39,FISICA,ROMA SUR,CUAUHTEMOC,19.4035504376491,-99.1597589799924
14858,2023,Enero,2023-01-03,2024-11-11T06:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,27,FISICA,DOCTORES,CUAUHTEMOC,19.417681655605,-99.1516426195847
14859,2023,Enero,2023-01-03,2024-11-11T08:30:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,35,FISICA,ROMA SUR,CUAUHTEMOC,19.4074639296371,-99.1602341797594
14861,2023,Enero,2023-01-03,2024-11-11T20:50:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,27,FISICA,CENTRO URBANO BENITO JUÁREZ,CUAUHTEMOC,19.4075012033807,-99.1560020999683
14863,2023,Enero,2023-01-04,2024-11-11T14:10:00.000Z,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,48,FISICA,EX-HIPÓDROMO DE PERALVILLO,CUAUHTEMOC,19.4542737375587,-99.1304884900976
14864,2023,Enero,2023-01-02,2024-11-11T18:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,50,FISICA,OBRERA,CUAUHTEMOC,19.4134736391062,-99.1406682999156
14866,2023,Enero,2023-01-03,2024-11-11T06:40:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,51,FISICA,SANTA MARIA LA RIBERA,CUAUHTEMOC,19.4485936754531,-99.1541336104559
14867,2023,Enero,2023-01-03,2024-11-11T15:00:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,52,FISICA,TRANSITO,CUAUHTEMOC,19.4189717656549,-99.1318175197783
14868,2023,Enero,2023-01-03,2024-11-11T07:25:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,31,FISICA,SAN SIMÓN TOLNAHUAC,CUAUHTEMOC,19.4593926754478,-99.1420036596149
14869,2023,Enero,2023-01-04,2024-11-11T04:30:00.000Z,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,66,FISICA,SANTA MARIA LA RIBERA,CUAUHTEMOC,19.4447300029414,-99.1605618603779
14870,2023,Enero,2023-01-04,2024-11-11T06:40:00.000Z,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Femenino,31,FISICA,CENTRO,CUAUHTEMOC,19.4355152697506,-99.1367971702668
14871,2023,Enero,2023-01-05,2024-11-11T02:30:00.000Z,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,32,FISICA,CUAUHTÉMOC,CUAUHTEMOC,19.4308973122887,-99.1680945099753
14872,2023,Enero,2023-01-05,2024-11-11T12:05:00.000Z,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,Masculino,52,FISICA,ROMA NORTE,CUAUHTEMOC,19.4207656001287,-99.1763332502406
