,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia ,alcaldía,latitud,longitud
0,2019,Enero,2019-01-04,15:00:00,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Masculino,21,FISICA,CENTRO,CUAUHTEMOC,19.4261,-99.13785
1,2019,Enero,2019-01-04,13:20:00,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Femenino,50,FISICA,MORELOS,CUAUHTEMOC,19.4463,-99.13053
2,2019,Enero,2019-01-04,14:35:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,27,FISICA,AMPLIACIÓN ASTURIAS,CUAUHTEMOC,19.40671,-99.13551
3,2019,Enero,2019-01-04,14:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,22,FISICA,CENTRO,CUAUHTEMOC,19.43197,-99.13343
4,2019,Enero,2019-01-05,02:00:00,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,38,FISICA,ROMA NORTE,CUAUHTEMOC,19.41242,-99.16241
5,2019,Enero,2019-01-05,02:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Femenino,47,FISICA,NONOALCO TLATELOLCO,CUAUHTEMOC,19.4508,-99.13589
6,2019,Enero,2019-01-05,13:26:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,DELITO DE BAJO IMPACTO,Masculino,27,FISICA,SANTA MARIA LA RIBERA,CUAUHTEMOC,19.44656,-99.15333
7,2019,Enero,2019-01-05,19:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,44,FISICA,GUERRERO,CUAUHTEMOC,19.43853,-99.14567
8,2019,Enero,2019-01-05,20:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,50,FISICA,TABACALERA,CUAUHTEMOC,19.43722,-99.14706
9,2019,Enero,2019-01-06,01:00:00,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,29,FISICA,HIPÓDROMO,CUAUHTEMOC,19.4131,-99.17228
