_c0,año,mes,fecha,hora_hecho,delito,categoria_delito,sexo,edad,tipo_persona,colonia,alcaldía,latitud,longitud
14842,2023,Enero,2023-01-02,2024-11-11 16:12:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,40,FISICA,CENTRO,CUAUHTEMOC,19.4261270767606,-99.1364121399986
14843,2023,Enero,2023-01-02,2024-11-11 16:12:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,40,FISICA,CENTRO,CUAUHTEMOC,19.4261270767606,-99.1364121399986
14851,2023,Enero,2023-01-03,2024-11-11 21:58:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,36,FISICA,ATLAMPA,CUAUHTEMOC,19.457854542371,-99.1571026996627
14855,2023,Enero,2023-01-04,2024-11-11 02:22:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,11,FISICA,ROMA NORTE,CUAUHTEMOC,19.4258547328365,-99.1537061302931
14861,2023,Enero,2023-01-03,2024-11-11 20:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,27,FISICA,CENTRO URBANO BENITO JUÁREZ,CUAUHTEMOC,19.4075012033807,-99.1560020999683
14863,2023,Enero,2023-01-04,2024-11-11 14:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,48,FISICA,EX-HIPÓDROMO DE PERALVILLO,CUAUHTEMOC,19.4542737375587,-99.1304884900976
14875,2023,Enero,2023-01-05,2024-11-11 15:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,42,FISICA,CENTRO,CUAUHTEMOC,19.4308024018898,-99.124848250461
14882,2023,Enero,2023-01-06,2024-11-11 13:20:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,77,FISICA,CENTRO,CUAUHTEMOC,19.4308881378788,-99.134538840218
14896,2023,Enero,2023-01-08,2024-11-11 09:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,26,FISICA,JUÁREZ,CUAUHTEMOC,19.4274255570742,-99.1622158900256
14897,2023,Enero,2023-01-07,2024-11-11 17:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,48,FISICA,CUAUHTÉMOC,CUAUHTEMOC,19.427257045654,-99.1717512503402
14926,2023,Enero,2023-01-09,2024-11-11 16:25:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,57,FISICA,TABACALERA,CUAUHTEMOC,19.4320405500635,-99.1573874702621
14935,2023,Enero,2023-01-10,2024-11-11 20:08:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,44,FISICA,SANTA MARIA LA RIBERA,CUAUHTEMOC,19.4427028228317,-99.1546685604635
14947,2023,Enero,2023-01-11,2024-11-11 11:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,40,FISICA,MORELOS,CUAUHTEMOC,19.44520043364,-99.1246578096604
14952,2023,Enero,2023-01-11,2024-11-11 15:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,48,FISICA,JUÁREZ,CUAUHTEMOC,19.4243285836182,-99.1628748197579
14957,2023,Enero,2023-01-11,2024-11-11 23:09:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,25,FISICA,ROMA NORTE,CUAUHTEMOC,19.418178787176,-99.1593680497081
